district_no,seats,TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,NOWA LEWICA,PRAWO I SPRAWIEDLIWOŚĆ,KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICJA OBYWATELSKA PO N IPL ZIELONI,MNIEJSZOŚĆ NIEMIECKA
1,12,53958,47715,174643,31770,169540,0
2,8,39215,25806,107797,19478,120188,0
3,14,106624,88089,206899,54132,286713,0
4,12,80426,52959,162603,34266,186914,0
5,13,84308,60473,183131,34232,158719,0
6,15,102894,37083,294847,54325,131712,0
7,12,59577,25691,231882,35594,79501,0
8,12,77933,47911,143530,33672,195091,0
9,10,54283,55770,122433,25428,187527,0
10,9,54479,25340,184929,30247,86083,0
11,12,77313,41188,221031,36383,138038,0
12,8,54585,22036,156308,28754,88408,0
13,14,127693,83633,232430,58435,232799,0
14,10,49487,13594,229587,37301,68804,0
15,9,75229,16152,196433,32241,68690,0
16,10,75526,28848,195218,28877,99146,0
17,9,54690,20874,190418,28593,82003,0
18,12,83681,26149,262236,44299,100902,0
19,20,227127,230648,345380,124220,741286,0
20,12,110086,51556,231905,51573,257470,0
21,12,61155,34763,150022,31150,161241,25778
22,11,60938,19750,241790,38080,70054,0
23,15,83676,32828,347688,63854,119259,0
24,14,114898,29478,258277,59648,126971,0
25,12,90599,57967,155318,38406,257009,0
26,14,92793,56887,199709,49203,258909,0
27,9,64778,34601,163506,34909,127677,0
28,7,47698,30497,117756,21256,94313,0
29,9,51681,35673,116827,26934,139711,0
30,9,47525,26117,145230,30527,114404,0
31,12,69825,44509,162458,35240,193596,0
32,9,37221,81646,112389,21512,114519,0
33,16,90975,45048,310266,43197,137941,0
34,8,46101,24269,105373,19590,95410,0
35,10,63007,31631,126432,27119,129339,0
36,12,87628,46222,194416,37838,154990,0
37,9,69740,39761,162192,29208,100580,0
38,9,72996,32378,120301,28370,144114,0
39,10,98589,73345,116666,35182,262779,0
40,8,39776,28101,101023,19379,124625,0
41,12,69957,52032,159575,32942,222427,0
